NAME,DISTANCE,LEARNING_RATE,BATCH,EPOCHS,PATIENCE,TEST_LOSS,TEST_ACC,VAL_LOSS,VAL_ACC,TOTAL_TIME_SECS
avtomat_distance-8_learningRate-0.0001_batch-256_epochs-10_patience-10,8,0.0001,256,10,10,0.8883602619171143,0.6587949991226196,0.8891059756278992,0.6596437692642212,603.1388123035431
avtomat_distance-14_learningRate-0.0001_batch-128_epochs-10_patience-10,14,0.0001,128,10,10,0.5864524245262146,0.777883768081665,0.5812295079231262,0.7800562381744385,1157.93767786026
avtomat_distance-2_learningRate-0.0001_batch-512_epochs-10_patience-10,2,0.0001,512,10,10,1.0029516220092773,0.5582399964332581,1.0045166015625,0.558899998664856,428.9717140197754
avtomat_distance-26_learningRate-0.0001_batch-512_epochs-300_patience-10,26,0.0001,512,300,10,0.6917821764945984,0.7537487745285034,0.6924786567687988,0.7524250149726868,4567.433372735977
avtomat_distance-8_learningRate-0.001_batch-128_epochs-10_patience-10,8,0.001,128,10,10,2.772639036178589,0.0625,2.7726473808288574,0.0625,922.0469689369202
avtomat_distance-38_learningRate-0.0001_batch-512_epochs-300_patience-10,38,0.0001,512,300,10,0.3724922239780426,0.8504637479782104,0.37365496158599854,0.8510562777519226,3812.8182451725006
avtomat_distance-32_learningRate-0.001_batch-512_epochs-10_patience-10,32,0.001,512,10,10,2.7726211547851562,0.0625,2.7726187705993652,0.0625,401.1670835018158
avtomat_distance-44_learningRate-0.001_batch-512_epochs-10_patience-10,44,0.001,512,10,10,2.7726211547851562,0.0625,2.7726187705993652,0.0625,398.3531606197357
avtomat_distance-26_learningRate-0.0001_batch-256_epochs-300_patience-10,26,0.0001,256,300,10,0.7219741940498352,0.7548524737358093,0.72198086977005,0.7546812295913696,5377.590955018997
avtomat_distance-56_learningRate-0.0001_batch-256_epochs-10_patience-10,56,0.0001,256,10,10,0.3830900490283966,0.8475149869918823,0.3850819766521454,0.8467000126838684,563.9552066326141
avtomat_distance-62_learningRate-0.0001_batch-128_epochs-300_patience-10,62,0.0001,128,300,10,0.3992915749549866,0.8416500091552734,0.39699622988700867,0.8433499932289124,7936.103278160095
